Name,Simbolo,Precio,Fecha,Link
Uniswap,UNI,9.65,18-03-2022,https://www.coindesk.com/price/uniswap/
Shiba Inu,SHIB,0.000022,18-03-2022,https://www.coindesk.com/price/shiba-inu/
Axie Infinity,AXS,50.38,18-03-2022,https://www.coindesk.com/price/axie-infinity/
Polygon,MATIC,1.49,18-03-2022,https://www.coindesk.com/price/polygon/
Chainlink,LINK,14.98,18-03-2022,https://www.coindesk.com/price/chainlink/
Dogecoin,DOGE,0.118405,18-03-2022,https://www.coindesk.com/price/dogecoin/
TerraUSD,UST,1.00,18-03-2022,https://www.coindesk.com/price/terrausd/
Stellar,XLM,0.192293,18-03-2022,https://www.coindesk.com/price/stellar/
XRP,XRP,0.794341,18-03-2022,https://www.coindesk.com/price/xrp/
Ethereum,ETH,"2,946.89",18-03-2022,https://www.coindesk.com/price/ethereum/
Cardano,ADA,0.854047,18-03-2022,https://www.coindesk.com/price/cardano/
Polkadot,DOT,18.87,18-03-2022,https://www.coindesk.com/price/polkadot/
Solana,SOL,89.73,18-03-2022,https://www.coindesk.com/price/solana/
Terra,LUNA,86.18,18-03-2022,https://www.coindesk.com/price/terra/
Avalanche,AVAX,85.78,18-03-2022,https://www.coindesk.com/price/avax/
